Title,Acronym,DblpSeries,has CORE2026 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3,has CORE2023 Rank,has CORE2021 Rank,has CORE2020 Rank,has CORE2018 Rank,has CORE2017 Rank,has CORE2014 Rank,has CORE2013 Rank,has CORE2010 Rank,has CORE2008 Rank
Computer Graphics International,CGI,cgi,C,"Graphics, augmented reality and games, Computer vision and multimedia computation, ","Graphics, augmented reality and games",Computer vision and multimedia computation,,C,B,B,B,B,B,B,B,A
Computer Science Research Conference,CSRC,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,C,C,C,C,C,
Computer Sciences and Information Technologies,CSIT,,National,"Artificial intelligence, Software engineering, Data management and data science",Artificial intelligence,Software engineering,Data management and data science,National,National,,,,,,,
Computer Supported Collaborative Learning,CSCL,cscl,,"Human-centred computing, , ",Human-centred computing,,,,B,A,A,A,A,A*,A,A*
Computing in Civil Engineering and Building International Conference,ICCCBE,,,"Civil Engineering†, Building†, ",Civil Engineering†,Building†,,,,,,,,,C,
Computing in Education Group of Victoria Conference,CEG,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,C,C,C,C,C,L
Computing: The Australasian Theory Symposium,CATS,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,Australasian,Australasian,Australasian,Australasian,B,B
Conference for the International Simulation and Gaming Association,ISAGA,isaga,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,C,C,C,C,C,C,C,C,
Conference in Uncertainty in Artificial Intelligence,UAI,uai,A,"Artificial intelligence, , ",Artificial intelligence,,,A,A,A*,A*,A*,A*,A*,A,A*
Conference of South African Institute of Computer Scientists and Information Technologists,SAICSIT,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,,,,,C,
Conference of the Association for Machine Translation in the Americas,AMTA,amta,National/Regional,"Artificial intelligence, , ",Artificial intelligence,,,National/Regional,National/Regional,B,B,B,B,B,B,
Conference of the Association of Asian-Pacific Operational Research Societies,APORS,,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,C,C,C,C,C,C,C
Conference of the Australian Institutes of Transport Research,CAITR,,,"Urban and Regional Planning†, , ",Urban and Regional Planning†,,,,,,,,,,C,
Conference of the Commission Internationale pour l'Etude et l'Amelioration de l'Enseignement des Mathematiques,CIEAEM,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,C
Conference of the European Association for Machine Translation,EAMT,eamt,C,"Artificial intelligence, , ",Artificial intelligence,,,C,B,B,B,B,B,B,B,
Conference of the European Society for Fuzzy Logic and Technologies,EUSFLAT,eusflat,C,"Artificial intelligence, Theory of computation, Applied computing",Artificial intelligence,Theory of computation,Applied computing,C,C,,,,,,,
Conference of the International Society for Decision Support Systems,ISDSS,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,C
Conference of the Pacific Association for Computational Linguistics,PACLING,pacling,,"Artificial intelligence, , ",Artificial intelligence,,,,B,B,B,B,B,B,B,B
Conference on Agile Software Development,XP,xpu,B,"Software engineering, , ",Software engineering,,,B,B,B,B,B,B,B,B,
Conference on Algebra and Coalgebra in Computer Science,CALCO,calco,B,"Theory of computation, , ",Theory of computation,,,B,B,,,,,,,
Conference on Algorithmic Aspects in Information and Management,AAIM,aaim,C,"Theory of computation, , ",Theory of computation,,,C,C,C,C,C,C,C,C,B
Conference on Algorithms and Hardware for Parallel Processing,CONPAR,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
Conference on Artificial Intelligence for Applications,CAIA,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,B,B,B,B,B,B
Conference on Artificial Neural Networks and Expert systems,ANNES,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,C
Conference on Combinatorial Optimization and Applications,COCOA,cocoa,C,"Artificial intelligence, , ",Artificial intelligence,,,C,B,B,B,B,B,B,B,B
Conference on Computational Natural Language Learning,CoNLL,conll,B,"Artificial intelligence, Machine learning, ",Artificial intelligence,Machine learning,,B,A,A,A,A,A,A,A,A
"Conference on Computers, Freedom, and Privacy",CFP,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
Conference on Construction Partnering,CII-HK,,,"Building†, , ",Building†,,,,,,,,,,C,
"Conference on Discrete Mathematics, Algebra and their Application",DIMA,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Conference on File and Storage Technologies,FAST,fast,A,"Data management and data science, , ",Data management and data science,,,A,A,A,A,A,A,A,A,
Conference on Fun with Algorithms,FUN,fun,National: Italy,"Theory of computation, Data management and data science, ",Theory of computation,Data management and data science,,National: Italy,National: Italy,National: Italy,B,B,B,B,B,B
Conference on Games (was Computational Intelligence and Games CIG),COG,cig,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,C,C,C,C,C,C,C,C,
Conference on Graph Theory and Discrete Geometry,CGTDG,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
"Conference on Information Science, Technology and Management",CISTM,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,B
Conference on Information Sciences and Systems,CISS,ciss,National: USA,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: USA,National: USA,National: USA,C,C,C,C,C,
"Conference on Innovation in Clouds, Internet and Networks",ICIN,icin,National: France,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: France,National: France,National: France,Unranked,,,,,
Conference on Innovative Data Systems Research,CIDR,cidr,A,"Data management and data science, , ",Data management and data science,,,A,A,A,A,A,A,A,A,A
Conference on Integer Programming and Combinatorial Optimization,IPCO,ipco,B,"Theory of computation, , ",Theory of computation,,,A,A,A,A,A,A,A,A,A
Conference on Intelligent Computer Mathematics,CICM,mkm,C,"Theory of computation, Software engineering, Artificial intelligence",Theory of computation,Software engineering,Artificial intelligence,C,C,,,,,,,
"Conference on Interactive Theorem Proving (previously TPHOLs, changed in 2009)",ITP,itp,B,"Theory of computation, , ",Theory of computation,,,A,A,A,A,A,A,A,A,
Conference on Learning Theory,COLT,colt,A*,"Machine learning, Artificial intelligence, ",Machine learning,Artificial intelligence,,A*,A*,A*,A*,A*,A*,A*,A,A*
Conference on Office Information Systems,SIGOA,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
Conference on Operational Research Practice in Africa,ORPA,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,,,,,C,C
"Conference on Orders, Algorithms and Applications",Ordal,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Conference on RFID Security,RFIDSec,rfidsec,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
Conference on Robot Learning,CoRL,corl,Unranked,"Artificial intelligence, Machine learning, Computer vision and multimedia computation",Artificial intelligence,Machine learning,Computer vision and multimedia computation,Unranked,,,,,,,,
Conference on Security and Cryptography for Networks,SCN,scn,National: Italy,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,National: Italy,National: Italy,National: Italy,B,B,B,B,B,
Conference on Security in Network Architectures and Information Systems,SAR-SSI,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
"Conference on Software Engineering Education and Training (previously Conference is Software Engineering Education, CSEE, changed in 1997)",CSEET,csee,C,"Human-centred computing, , ",Human-centred computing,Engineering†,,C,C,C,C,C,C,C,C,
Conference on Software in Telecommunications and Computer Networks,SOFTCOM,softcom,National: Croatia,"Distributed computing and systems software, , ",Distributed computing and systems software,,,National: Croatia,National: Croatia,National: Croatia,B,B,B,B,B,B
Conference on Spatial Information Theory,COSIT,,,"Architecture†, , ",Architecture†,,,,,,,,,,C,
Conference on Theory and Applications of Models of Computation,TAMC,tamc,C,"Theory of computation, , ",Theory of computation,,,C,B,B,B,B,B,B,B,
Conference on Visualization and Data Analysis,VDA,vda,National: USA,"Human-centred computing, , ",Human-centred computing,,,National: USA,National: USA,National: USA,C,C,C,C,C,
Conference on the Quality of Software Architectures,QoSA,,,"Computer Software†, , ",Computer Software†,,,,,,,B,B,A,A,A
Conférence en Recherche d'information et Applications,CORIA,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,,,,,C,
Congress of the Italian Assoc for AI,AI*IA,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,,,B,B
Congress of the Modelling and Simulation Society of Australia and New Zealand,Modsim 03,,,"Environmental Engineering†, Civil Engineering†, ",Environmental Engineering†,Civil Engineering†,,,,,,,,,A,
ConnectED: International Conference on Design Education,ConnectED,,,"Architecture†, Design Practice and Management†, ",Architecture†,Design Practice and Management†,,,,,,,,,C,
Constraint Databases and Applications,CDB,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,C
Constraint Programming Day,CPD,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,C
"Construction Applications of Virtual Reality, International Conference",CAVR,,,"Building†, , ",Building†,,,,,,,,,,C,
Construction Applications to Virtual Reality Conference,CONVR,,,"Architecture†, , ",Architecture†,,,,,,,,,,C,
Construction Management and Economics Conference,CME 25,,,"Building†, , ",Building†,,,,,,,,,,A,
Construction Management and Real Estate International Symposium,CRIOCM,,,"Building†, , ",Building†,,,,,,,,,,B,
Construction in the Twenty-first Century Conferences,CITC,,,"Building†, , ",Building†,,,,,,,,,,B,
"Cooperative Design, Visualization, and Engineering",CDVE,cdve,C,"Human-centred computing, , ",Human-centred computing,,,C,C,C,C,C,C,C,C,
Cooperative Research Centre for Construction Innovation International Conference,CRCCI,,,"Building†, , ",Building†,,,,,,,,,,B,
Coordinated and Multiple Views in Exploratory Visualization,CMV,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
Creativity and Cognition,C&C,candc,B,"Human-centred computing, , ",Human-centred computing,,,,,,,,,,,
Crypto'Puces,Crypto'Puces,,,"Data Format†, , ",Data Format†,,,,,,,,,,C,
Cryptographers Track at RSA Conference,CT-RSA,ctrsa,B,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,B,B,B,B,B,B,B,B,B
Cryptography Policy and Algorithms Conference,CryPAC,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,C
Cultural Attitudes towards Technology and Communications,CATAC,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,
Cultural Heritage Knowledge Visualisation,CHKV,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
"Cumulus - International Association of Universities and Colleges of Art, Design and Media",CUMULUS,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,C,
Current Trends in Theory and Practice of Computer Science,SOFSEM,sofsem,B,"Information and Computing Sciences, , ",Information and Computing Sciences,,,B,B,B,B,B,B,B,B,
DIMACS Workshop on Intrinsic Complexity of Computation,DIMACS Intrinsic,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
DNA Computing and Molecular Programming,DNA,dna,B,"Applied computing, , ",Applied computing,,,B,B,B,B,B,B,B,B,B
Data Compression Conference,DCC,dcc,B,"Data management and data science, , ",Data management and data science,,,B,B,A*,A*,A*,A*,A*,A,A*
Data Semantics in Web Information Systems,DASWIS,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,C
Data Warehousing and Knowledge Discovery,DaWaK,dawak,B,"Data management and data science, Machine learning, ",Data management and data science,Machine learning,,B,B,B,B,B,B,B,B,B
Database Programming Languages,DBPL,dbpl,,"Data management and data science, , ",Data management and data science,,,,B,B,B,B,B,B,B,C
"Datenbanksysteme für Business, Technologie und Web",BTW,btw,National:Germany,"Data management and data science, , ",Data management and data science,,,National:Germany,National:Germany,,,,,,,
Declarative Agent Languages and Technologies (merged into EMAS in 2013),DALT,,,"Data Format†, , ",Data Format†,,,,,,,,,,B,
Deductive and Object-Oriented Databases,DOOD,dood,,"Information Systems†, , ",Information Systems†,,,,,,A,A,A,A,,A
Design Automation Conf,DAC,dac,A*,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,,TBR,,,A,A,A,A,,A
Design Research Society (UK) International Conference,DRS,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,B,
Design and Aesthetics in Visualisation,DAViz,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
Design and Emotion Society Conferences,D&E,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,A,
Design and Management of Data Warehouses,DMDW,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,C
Design for User Experience,DUX,,,"Information Systems†, Design Practice and Management†, ",Information Systems†,Design Practice and Management†,,,,,B,B,B,B,B,A
"Design, Automation and Test in Europe Conference",DATE,date,A,"CSE - Computer Systems Engineering, Software engineering, ",CSE - Computer Systems Engineering,Software engineering,,B,B,B,B,B,B,B,B,A
Designing Interactive Systems,DIS,ACMdis,A,"Human-centred computing, , ",Human-centred computing,Design Practice and Management†,,A,A,B,B,B,B,B,B,A
Designing Pleasurable Products And Interfaces,DPPI,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,B,
Deutsche Arbeitsgemeinschaft für Mustererkennung DAGM e.V,DAGM,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,,,B,
Developments in Language Theory,DLT,dlt,C,"Theory of computation, , ",Theory of computation,,,C,B,B,B,B,B,B,B,B
Developments in eSystems Engineering,DeSE,dese,C,"Information and Computing Sciences, , ",Information and Computing Sciences,Information Systems†,Computation Theory and Mathematics†,C,C,C,C,,,,,
Digital Arts and Culture,DAC,,,"Information Systems†, , ",Information Systems†,,,,,,,,,,C,
Digital Audio Effects Conference,DAFX,dafx,C,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,C,B,B,B,B,B,B,,B
Digital Games Research Conference,DIGRA,digra,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,C,C,C,C,C,C,C,C,A
Digital Image Computing Techniques and Applications,DICTA,dicta,Australasian C,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,Australasian C,Australasian B,Australasian B,Australasian,,,,B,
Discourse Anaphora and Anaphor Resolution Colloquium,DAARC,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
Discovery Science,DS,dis,B,"Machine learning, Artificial intelligence, Applied computing",Machine learning,Artificial intelligence,Applied computing,B,Unranked,Unranked,Unranked,,,,,
"Discrete Models: Combinatorics, Computation and Geometry",DM-CCG,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Discrete and Algorithmic Geometry,DAG,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Distributed Communities on the Web Workshop,Dcw,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,C
Distributed Simulation Symposium,DSS,,,", , ",,,,,,,B,B,B,B,,B
Doing IT at Melbourne,DITAM,,,", , ",,,,,,,,L,L,L,,L
Domain - Specific Languages for Software Engineering,DSLSE,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,C
Domain Specific Aspect Languages,DSAL,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
Durability of Building Materials and Components Conference,DBMC,,,"Civil Engineering†, , ",Civil Engineering†,,,,,,,,,,C,
Dutch Computational Geometry Day,DutchCG,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Dynamic Graph Workshop,DGW,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
Dynamic Languages Symposium,DLS,dls,C,"Software engineering, , ",Software engineering,,,C,C,B,B,B,B,B,B,
ECRYPT Workshop on Cryptographic Hash Functions,ECRYPT,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,
"EMAS (merger of DALT, AOSE and PROMAS)",EMAS,emas,B,"Artificial intelligence, , ",Artificial intelligence,Artificial Intelligence and Image Processing†,Computer Software†,B,B,B,B,B,B,B,,
ENVI and IDL Data Analysis and Visualization Symposium,VISualize,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,
ERATO Conference on Quantum Information Science,EQIS,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,C,C,C,C,C,
ERCIM Annual Workshop on Constraint Solving and Constraint Logic Programming,ERCIM/CSCLP,,,"Computation Theory and Mathematics†, , ",Computation Theory and Mathematics†,,,,,,B,B,B,B,B,B
ETHICOMP Conference,ETHICOMP,,C,"Human-centred computing, , ",Human-centred computing,,,C,B,B,B,B,B,B,B,C
EURO AMERICAN CONFERENCE ON TELEMATICS AND INFORMATION SYSTEMS,EATIS,eatis,C,"Distributed computing and systems software, Human-centred computing, ",Distributed computing and systems software,Human-centred computing,Information and Computing Sciences†,C,C,C,C,Unranked,Unranked,,,
East Asia Society for Transportation Studies Conference (biennial),EASTS,,,"Urban and Regional Planning†, , ",Urban and Regional Planning†,,,,,,,,,,C,
Education and Research in Computer Aided Architectural Design in Europe,eCAADe,,,"Architecture†, , ",Architecture†,,,,,,,,,,B,
Educational Data Mining,EDM,edm,B,"Applied computing, , ",Applied computing,,,B,B,B,,,,,B,
Embedded Sensor Networks Workshop,Emnets,,,"Communications Technologies†, , ",Communications Technologies†,,,,,,C,C,C,C,C,B
Empirical Methods in Natural Language Processing,EMNLP,emnlp,A*,"Artificial intelligence, , ",Artificial intelligence,,,A*,A,A,A,A,A,A,A,A
Enabling Grids for E-Science European Conference,EGEE,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
Engineering Applications of Artifical Intelligence,EAAI,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,A,A,A,A,,A
Engineering Federated Information (Database) Systems,EFIS/EFDBS,,,", , ",,,,,,,C,C,C,C,,C
Engineering Interactive Computing Systems,EICS,eics,Journal Published,"Human-centred computing, Software engineering, ",Human-centred computing,Software engineering,,Journal Published,Journal Published,Unranked,Unranked,,,,,
Entertainment and media in the ubiquitous era (ACM),MINDTREK,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,B,
Environmental Design Research Association,EDRA,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,B,
Ershov Conference,PSI,ershov,,"Software engineering, Data management and data science, ",Software engineering,Data management and data science,,,,National: Russia,B,B,B,B,B,B
Euro XR International Conference (was Euro VR),Euro XR,eurovr,C,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,C,C,C,C,C,C,C,C,
"EuroConference on Combinatorics, Graph Theory and Applications",EUroComb,,C,"Theory of computation, , ",Theory of computation,,,C,C,C,C,C,C,C,C,
Eurographics Symposium on Parallel Graphics and Visualization,EGPGV,egpgv,C,"Graphics, augmented reality and games, Computer vision and multimedia computation, ","Graphics, augmented reality and games",Computer vision and multimedia computation,,C,B,B,B,B,B,B,B,
Eurographics/IEEE Symposium on Visualization,EuroVis,vissym,B,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,,B,B,B,B,B,B,B,B,
Euromicro Conference Series on Digital System Design,DSD,dsd,C,"CSE - Computer Systems Engineering, Distributed computing and systems software, ",CSE - Computer Systems Engineering,Distributed computing and systems software,,,,,,,,,,
Euromicro Conference on Real-Time Systems,ECRTS,ecrts,B,"Distributed computing and systems software, , ",Distributed computing and systems software,,,B,A,A,A,A,A,A,A,A
Euromicro Conference on Software Engineering and Advanced Applications,SEAA,euromicro,B,"Software engineering, Applied computing, ",Software engineering,Applied computing,,B,B,B,B,B,C,C,C,
"Euromicro International Conference on Parallel, Distributed and Network Based Processing",PDP,pdp,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,C,C,C,C,C,C,C
European Academy of Design conferences,EAD,,,"Design Practice and Management†, , ",Design Practice and Management†,,,,,,,,,,C,
European Association for Computational Linguistics,EACL,eacl,A,"Artificial intelligence, , ",Artificial intelligence,,,A,A,A,A,A,A,A,A,A
European Chapter on Combinatorial Optimization,ECCO,,C,"Theory of computation, , ",Theory of computation,,,C,C,C,C,C,C,C,C,
European Computing Conference,ECC,,,"Information and Computing Sciences†, , ",Information and Computing Sciences†,,,,,,C,C,C,C,C,
European Conference of Information Warfare,ECIW,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
European Conference on Ambient Intelligence,AmI,ami,,"Distributed computing and systems software, Human-centred computing, Artificial intelligence",Distributed computing and systems software,Human-centred computing,Artificial intelligence,,C,C,C,C,C,C,C,
European Conference on Artificial Intelligence,ECAI,ecai,A,"Artificial intelligence, Computer vision and multimedia computation, Machine learning",Artificial intelligence,Computer vision and multimedia computation,Machine learning,A,A,A,A,A,A,A,A,A
European Conference on Artificial Life,ECAL,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,B,B,B,B,B,B
European Conference on Computational Biology,ECCB,,C,"Applied computing, , ",Applied computing,,,C,B,B,B,B,B,B,B,B
European Conference on Computational Learning Theory (Now in COLT),EuroCOLT,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,A
European Conference on Computational Mechanics,ECCM,,,"Civil Engineering†, , ",Civil Engineering†,,,,,,,,,,A,
European Conference on Computer Supported Cooperative Work,ECSCW,ecscw,B,"Human-centred computing, , ",Human-centred computing,,,B,B,B,B,B,B,B,B,A
European Conference on Computer Vision,ECCV,eccv,A*,"Computer vision and multimedia computation, , ",Computer vision and multimedia computation,,,A*,A*,A,A,A,A,A,A,A
European Conference on Digital Government (was European Conference on e-Government ECEG),ECDG,,C,"Applied computing, , ",Applied computing,,,C,C,C,C,C,C,C,C,B
European Conference on Evolutionary Computation in Combinatorial Optimisation,EvoCOP,evoW/evocop2019.html,B,"Artificial intelligence, , ",Artificial intelligence,Computation Theory and Mathematics†,,B,B,Unranked,Unranked,,,,,
European Conference on Genetic Programming,EUROGP,eurogp,B,"Artificial intelligence, , ",Artificial intelligence,,,B,B,B,B,B,B,B,B,B
European Conference on Information Management and Evaluation,ECIME,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,B
European Conference on Information Retrieval,ECIR,ecir,A,"Data management and data science, , ",Data management and data science,Library and Information Studies†,,A,A,A,A,B,B,B,B,B
European Conference on Information Systems,ECIS,ecis,,"Information Systems†, , ",Information Systems†,,,,,,A,A,A,A,A,A
European Conference on Knowledge Management,EKM,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,C
European Conference on Machine Learning (Joined with PKDD from 2008),ECML,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,,,A,A,A,A
European Conference on Machine Learning and Principles and Practice of Knowledge Discovery in Database (PKDD and ECML combined from 2008),ECML PKDD,pkdd,A,"Machine learning, Data management and data science, ",Machine learning,Data management and data science,,A,A,A,A,A,A,A,A,A
European Conference on Modelling Foundations and Applications,ECMFA,ecmdafa,B,"Software engineering, , ",Software engineering,,,B,NEW,,,,,,,
European Conference on Multi-Agent Systems,EUMAS,eumas,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,C,C,C,C,C,C,
European Conference on Numerical Methods in Geotechnical Engineering,NUMGE,,,"Civil Engineering†, , ",Civil Engineering†,,,,,,,,,,A,
European Conference on Object-Oriented Programming,ECOOP,ecoop,A,"Software engineering, , ",Software engineering,,,A,A,A,A,A,A,A,A,A
European Conference on Operations Research,EURO,,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,C,C,C,C,C,C,
European Conference on Pattern Languages of Programs,EuroPLop,europlop,National: Germany,"Software engineering, , ",Software engineering,,,National: Germany,National: Germany,National: Germany,B,B,B,B,B,
European Conference on Research Methodology for Business and Management Studies,ECRM,,,"Information Systems†, , ",Information Systems†,,,,,,C,C,C,C,C,
European Conference on Software Architecture,ECSA,ecsa,B,"Software engineering, , ",Software engineering,,,A,A,A,A,A,A,,,
European Conference on Software Maintenance and Reengineering,CSMR,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
European Conference on Symbolic and Quantitative Approaches to Reasoning with Uncertainty,ECSQARU,ecsqaru,C,"Artificial intelligence, , ",Artificial intelligence,,,C,C,C,C,C,C,C,C,
European Conference on Technology Enhanced Learning,EC-TEL,ectel,B,"Applied computing, Human-centred computing, ",Applied computing,Human-centred computing,,B,B,,,,,,,
European Conference on Universal Multiservice Networks,ECUMN,,,"Distributed Computing†, , ",Distributed Computing†,,,,,,C,C,C,C,C,
European Congress on Intelligent Techniques and Soft Computing,EUFIT,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,C,C,C,C,C,C
European Dependable Computing Conference,EDCC,edcc,Unranked,"Cybersecurity and privacy, Software engineering, Distributed computing and systems software",Cybersecurity and privacy,Software engineering,Distributed computing and systems software,Unranked,Unranked,Unranked,Unranked,,,,,
European Graphics Conference,EUROGRAPH,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,A,A,A,A,A,A
European Grid Conference,EGC,,,", , ",,,,,,,B,B,B,B,,B
European Institute for Computer Anti-Virus Research EICAR Conference,EICAR,,,"Data Format†, , ",Data Format†,,,,,,C,C,C,C,C,C
European Lisp Workshop,ELW,,,"Computer Software†, , ",Computer Software†,,,,,,C,C,C,C,C,
European MPI Users' Group Conference,EuroMPI,pvm,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,,C,C,C,C,C,C,C,C,A
European Natural Language Generation Workshop,EuroNLG,,,"Information Systems†, , ",Information Systems†,,,,,,B,B,B,B,B,
European PKI Workshop: Theory and Practice,EUROPKI,,,"Computer Software†, , ",Computer Software†,,,,,,B,B,B,B,B,
European SPI,EuroSPI,eurospi,B,"Software engineering, , ",Software engineering,,,B,B,B,B,B,B,B,B,A
European Signal Processing Conference,EUSIPCO,eusipco,,"Computer Hardware†, , ",Computer Hardware†,,,,,,B,B,B,B,B,B
European Simulation Symposium,ESS,,,"Artificial Intelligence and Image Processing†, , ",Artificial Intelligence and Image Processing†,,,,,,B,B,B,B,B,B
European Symposium On Research In Computer Security,ESORICS,esorics,A,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,,A,A,A,A,A,A,A,A,A
European Symposium on Algorithms,ESA,esa,A,"Theory of computation, , ",Theory of computation,,,A,A,A,A,A,A,A,A,A
European Symposium on Artificial Neural Networks,ESANN,esann,B,"Machine learning, , ",Machine learning,,,B,B,B,B,B,B,B,B,
European Symposium on Gender and ICT,ESGICT,,,"Other Information and Computing Sciences†, , ",Other Information and Computing Sciences†,,,,,,C,C,C,C,C,
European Symposium on Programming,ESOP,esop,A,"Software engineering, , ",Software engineering,,,A,A,A,A,A,A,A,A,A
European Transport Conference,ETC,,,"Urban and Regional Planning†, , ",Urban and Regional Planning†,,,,,,,,,,B,
European Workshop on Advanced Mobile Robots,EuroBot,,,"Manufacturing Engineering†, , ",Manufacturing Engineering†,,,,,,C,C,C,C,C,C
European Workshop on Computational Geometry,EuroCG,,C,"Theory of computation, , ",Theory of computation,,,C,C,C,C,C,C,C,C,
European Workshop on Learning Robots,EWLR,,,", , ",,,,,,,B,B,B,B,,B
